,id,listing_url,host_id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,number_of_reviews,review_scores_rating,price_range,Commune nom
56512,937607205110594786,https://www.airbnb.com/rooms/937607205110594786,514837461,100,t,Reuilly,48.84813879367431,2.3746511027895054,Entire home/apt,2,1.0,1.0,1.0,70.0,30,180,t,7,5.0,Low-cost,Paris 12ème
56521,936094134477397443,https://www.airbnb.com/rooms/936094134477397443,525829866,100,f,Hôtel-de-Ville,48.8604722,2.3554655,Entire home/apt,2,1.0,1.0,1.0,215.0,4,365,t,8,5.0,Fair,Paris 4ème
56553,937707228280480896,https://www.airbnb.com/rooms/937707228280480896,16901179,100,f,Temple,48.8645825,2.3570295,Entire home/apt,4,1.0,2.0,2.0,250.0,1,365,t,4,5.0,Premium,Paris 3ème
56560,936995002760626771,https://www.airbnb.com/rooms/936995002760626771,8463298,100,t,Temple,48.86551,2.35671,Private room,4,1.0,1.0,2.0,175.0,5,365,t,13,5.0,Fair,Paris 3ème
56562,937002457803363324,https://www.airbnb.com/rooms/937002457803363324,1516138,100,f,Popincourt,48.8670549,2.3673721,Entire home/apt,6,2.0,4.0,4.0,350.0,3,20,t,1,5.0,Premium,Paris 11ème
56594,937072991643118818,https://www.airbnb.com/rooms/937072991643118818,526120853,100,t,Observatoire,48.8282259,2.3326319,Entire home/apt,2,1.5,0.0,1.0,150.0,2,60,t,26,5.0,Fair,Paris 14ème
56602,937759245224850908,https://www.airbnb.com/rooms/937759245224850908,8014932,100,f,Buttes-Chaumont,48.87867808110461,2.375166045488569,Entire home/apt,4,2.5,2.0,2.0,750.0,2,30,t,7,5.0,Luxury,Paris 19ème
56630,938268503013017602,https://www.airbnb.com/rooms/938268503013017602,526462623,100,f,Batignolles-Monceau,48.887768277581415,2.3108663451323475,Entire home/apt,2,1.5,1.0,1.0,106.0,2,25,t,3,5.0,Fair,Paris 17ème
56657,938303436707270018,https://www.airbnb.com/rooms/938303436707270018,460047164,99,f,Batignolles-Monceau,48.8809,2.30583,Entire home/apt,2,1.0,1.0,1.0,96.0,30,1125,t,1,5.0,Low-cost,Paris 17ème
56672,938316812877895205,https://www.airbnb.com/rooms/938316812877895205,404451817,100,t,Temple,48.86438006855368,2.356128830688484,Entire home/apt,4,1.0,1.0,2.0,296.0,3,40,t,23,5.0,Premium,Paris 3ème
56708,938156628238449669,https://www.airbnb.com/rooms/938156628238449669,526437591,100,f,Buttes-Montmartre,48.8873531,2.3355903,Entire home/apt,5,2.0,3.0,4.0,390.0,4,14,t,7,5.0,Premium,Paris 18ème
