id,listing_url,host_id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,number_of_reviews,review_scores_rating,price_range,Commune nom,experience,airbnb_monument,dep,adresse,nomcom,insee,name,category
1.1810416552174838e+18,https://www.airbnb.com/rooms/1181041655217483654,24218532.0,100.0,f,Observatoire,48.82852075181597,2.3169052037048177,Entire home/apt,3.0,1.0,1.0,1.0,90.0,2.0,40.0,t,1.0,5.0,Low-cost,Paris 14ème,,airbnb,,,,,airbnb,
1.1817496164997437e+18,https://www.airbnb.com/rooms/1181749616499743825,583221654.0,100.0,f,Gobelins,48.827301925989495,2.3487248490737977,Entire home/apt,4.0,1.0,1.0,2.0,138.0,1.0,365.0,t,1.0,5.0,Fair,Paris 13ème,,airbnb,,,,,airbnb,
1.1810503435749407e+18,https://www.airbnb.com/rooms/1181050343574940565,447257701.0,100.0,f,Buttes-Chaumont,48.88735,2.39133,Entire home/apt,2.0,1.0,0.0,0.0,61.0,1.0,365.0,t,4.0,5.0,Low-cost,Paris 19ème,Nightlife,airbnb,,,,,airbnb,
1.1817575603994516e+18,https://www.airbnb.com/rooms/1181757560399451684,583221654.0,100.0,f,Gobelins,48.82785,2.34797,Entire home/apt,4.0,1.0,1.0,1.0,106.0,1.0,365.0,t,1.0,5.0,Fair,Paris 13ème,,airbnb,,,,,airbnb,
1.1817700378404575e+18,https://www.airbnb.com/rooms/1181770037840457529,583221654.0,100.0,f,Gobelins,48.82662190394528,2.347873591499844,Entire home/apt,4.0,1.0,2.0,3.0,138.0,1.0,365.0,t,3.0,5.0,Fair,Paris 13ème,,airbnb,,,,,airbnb,
1.182540559057977e+18,https://www.airbnb.com/rooms/1182540559057977094,571592448.0,100.0,f,Gobelins,48.82583310101708,2.37563889872456,Entire home/apt,5.0,1.0,1.0,2.0,115.0,2.0,365.0,t,6.0,5.0,Fair,Paris 13ème,,airbnb,,,,,airbnb,
1.1825454052733906e+18,https://www.airbnb.com/rooms/1182545405273390489,50978178.0,99.0,f,Élysée,48.86901410088485,2.3243978259599,Entire home/apt,1.0,1.0,1.0,1.0,151.0,1.0,365.0,t,1.0,5.0,Fair,Paris 8ème,Luxury,airbnb,,,,,airbnb,
1.181913937372295e+18,https://www.airbnb.com/rooms/1181913937372295021,10280180.0,100.0,f,Entrepôt,48.8716497,2.3635187,Entire home/apt,2.0,1.0,1.0,1.0,120.0,3.0,17.0,t,2.0,5.0,Fair,Paris 10ème,,airbnb,,,,,airbnb,
1.1825835643830372e+18,https://www.airbnb.com/rooms/1182583564383037151,119572344.0,99.0,f,Vaugirard,48.85298802653893,2.289411679942288,Entire home/apt,4.0,1.0,2.0,2.0,400.0,2.0,365.0,t,3.0,5.0,Premium,Paris 15ème,,airbnb,,,,,airbnb,
1.1819942488377544e+18,https://www.airbnb.com/rooms/1181994248837754384,349283031.0,100.0,f,Popincourt,48.86768337123512,2.378828376531601,Entire home/apt,2.0,1.0,1.0,1.0,70.0,3.0,365.0,t,1.0,5.0,Low-cost,Paris 11ème,Nightlife,airbnb,,,,,airbnb,
